Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL147,A359,Hartsfield-Jackson Intl (KATL),Comodoro Arturo Merino Benitez Int'l (SCL / SCEL),Wed 08:20PM EST,Thu 06:43AM -03
DAL1492,B738,Chicago O'Hare Intl (KORD),Salt Lake City Intl (KSLC),Wed 07:52PM CST,Wed 09:40PM MST
DAL1514,A320,John F Kennedy Intl (KJFK),Palm Beach Intl (KPBI),Wed 08:17PM EST,Wed 10:36PM EST
DAL1516,A321,Minneapolis/St Paul Intl (KMSP),Dallas-Fort Worth Intl (KDFW),Wed 08:25PM CST,Wed 10:32PM CST
DAL1523,B712,Chicago O'Hare Intl (KORD),Minneapolis/St Paul Intl (KMSP),Wed 08:49PM CST,Wed 09:45PM CST
DAL1528,B712,Hartsfield-Jackson Intl (KATL),Tulsa Intl (KTUL),Wed 09:48PM EST,Wed 10:21PM CST
DAL1539,A321,Minneapolis/St Paul Intl (KMSP),San Diego Intl (KSAN),Wed 06:34PM CST,Wed 07:50PM PST
DAL154,B764,Boston Logan Intl (KBOS),Dublin Int'l (DUB / EIDW),Wed 09:55PM EST,Thu 08:24AM GMT
DAL1542,A321,Harry Reid Intl (KLAS),Minneapolis/St Paul Intl (KMSP),Wed 06:36PM PST,Wed 11:17PM CST
DAL1551,B739,Los Angeles Intl (KLAX),Seattle-Tacoma Intl (KSEA),Wed 07:27PM PST,Wed 09:42PM PST
DAL1553,B738,John F Kennedy Intl (KJFK),Tampa Intl (KTPA),Wed 08:19PM EST,Wed 10:41PM EST
DAL1557,BCS1,Minneapolis/St Paul Intl (KMSP),Houston Bush Int'ctl (KIAH),Wed 08:39PM CST,Wed 11:17PM CST
DAL1569,B739,Seattle-Tacoma Intl (KSEA),Los Angeles Intl (KLAX),Wed 05:41PM PST,Wed 07:36PM PST
DAL157,B763,Kotoka Int'l (ACC / DGAA),John F Kennedy Intl (KJFK),Wed 11:08PM GMT,Thu 04:50AM EST
DAL1575,BCS3,Denver Intl (KDEN),Seattle-Tacoma Intl (KSEA),Wed 06:37PM MST,Wed 08:03PM PST
DAL158,A359,Incheon Int'l (ICN / RKSI),Detroit Metro Wayne Co (KDTW),Thu 10:52AM KST,Thu 09:00AM EST
DAL159,A359,Detroit Metro Wayne Co (KDTW),Incheon Int'l (ICN / RKSI),Wed 12:06PM EST,Thu 04:28PM KST
DAL16,A332,Detroit Metro Wayne Co (KDTW),London Heathrow (LHR / EGLL),Wed 06:14PM EST,Thu 06:04AM GMT
DAL1602,A320,Chicago O'Hare Intl (KORD),Detroit Metro Wayne Co (KDTW),Wed 09:24PM CST,Wed 11:07PM EST
DAL1612,A320,Detroit Metro Wayne Co (KDTW),Austin-Bergstrom Intl (KAUS),Wed 07:51PM EST,Wed 09:46PM CST
DAL162,A333,Minneapolis/St Paul Intl (KMSP),Amsterdam Schiphol (AMS / EHAM),Wed 07:42PM CST,Thu 09:55AM CET
DAL1622,B739,Detroit Metro Wayne Co (KDTW),Boston Logan Intl (KBOS),Wed 09:34PM EST,Wed 10:49PM EST
DAL1629,B738,John F Kennedy Intl (KJFK),Southwest Florida Intl (KRSW),Wed 08:25PM EST,Wed 11:00PM EST
DAL1643,A320,LaGuardia (KLGA),Tampa Intl (KTPA),Wed 08:45PM EST,Wed 11:07PM EST
DAL167,A339,Seattle-Tacoma Intl (KSEA),Tokyo Int'l (Haneda) (HND / RJTT),Wed 11:27AM PST,Thu 02:44PM JST
