Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL415,B752,Hartsfield-Jackson Intl (KATL),New Orleans Intl (KMSY),Wed 10:27PM EST,Wed 10:33PM CST
DAL418,B739,John F Kennedy Intl (KJFK),Portland Intl (KPDX),Wed 07:46PM EST,Wed 10:16PM PST
DAL420,BCS1,Seattle-Tacoma Intl (KSEA),Austin-Bergstrom Intl (KAUS),Wed 05:57PM PST,Wed 11:14PM CST
DAL44,B764,John F Kennedy Intl (KJFK),Dublin Int'l (DUB / EIDW),Wed 09:16PM EST,Thu 08:03AM GMT
DAL443,B763,Los Angeles Intl (KLAX),Daniel K Inouye Intl (PHNL),Wed 05:36PM PST,Wed 08:35PM HST
DAL450,B738,Seattle-Tacoma Intl (KSEA),Nashville Intl (KBNA),Wed 06:07PM PST,Thu 12:00AM CST
DAL453,B738,Los Angeles Intl (KLAX),Nashville Intl (KBNA),Wed 05:08PM PST,Wed 10:37PM CST
DAL46,A339,John F Kennedy Intl (KJFK),Amsterdam Schiphol (AMS / EHAM),Wed 05:00PM EST,Thu 05:30AM CET
DAL464,B763,Los Angeles Intl (KLAX),Kahului (OGG / PHOG),Wed 05:47PM PST,Wed 08:50PM HST
DAL465,B763,Los Angeles Intl (KLAX),Daniel K Inouye Intl (PHNL),Wed 03:43PM PST,Wed 06:37PM HST
DAL466,A21N,Fort Lauderdale Intl (KFLL),Seattle-Tacoma Intl (KSEA),Wed 06:39PM EST,Wed 09:21PM PST
DAL468,B738,Seattle-Tacoma Intl (KSEA),Raleigh-Durham Intl (KRDU),Wed 03:58PM PST,Wed 11:20PM EST
DAL48,A333,John F Kennedy Intl (KJFK),Amsterdam Schiphol (AMS / EHAM),Wed 08:09PM EST,Thu 08:41AM CET
DAL487,A321,Hartsfield-Jackson Intl (KATL),LaGuardia (KLGA),Wed 09:51PM EST,Wed 11:25PM EST
DAL493,A321,Hartsfield-Jackson Intl (KATL),Denver Intl (KDEN),Wed 09:20PM EST,Wed 09:51PM MST
DAL495,B763,Daniel K Inouye Intl (PHNL),Los Angeles Intl (KLAX),Wed 02:31PM HST,Wed 09:26PM PST
DAL496,B739,Harry Reid Intl (KLAS),John F Kennedy Intl (KJFK),Wed 03:59PM PST,Wed 11:05PM EST
DAL50,A333,Salt Lake City Intl (KSLC),London Heathrow (LHR / EGLL),Wed 05:26PM MST,Thu 09:03AM GMT
DAL510,B712,Hartsfield-Jackson Intl (KATL),Wichita Eisenhower (KICT),Wed 09:59PM EST,Wed 10:49PM CST
DAL519,A320,Hartsfield-Jackson Intl (KATL),Reagan National (KDCA),Wed 10:25PM EST,Wed 11:38PM EST
DAL52,B764,John F Kennedy Intl (KJFK),Zurich (Kloten) (ZRH / LSZH),Wed 08:52PM EST,Thu 10:02AM CET
DAL522,B763,Daniel K Inouye Intl (PHNL),Seattle-Tacoma Intl (KSEA),Wed 02:06PM HST,Wed 09:17PM PST
DAL524,B763,John F Kennedy Intl (KJFK),Los Angeles Intl (KLAX),Wed 07:25PM EST,Wed 10:00PM PST
DAL54,A332,Hartsfield-Jackson Intl (KATL),Murtala Mohammed Int'l (LOS / DNMM),Wed 06:00PM EST,Thu 10:19AM WAT
DAL55,A332,Murtala Mohammed Int'l (LOS / DNMM),Hartsfield-Jackson Intl (KATL),Wed 11:00PM WAT,Thu 05:26AM EST
DAL556,B752,Hartsfield-Jackson Intl (KATL),John Wayne (KSNA),Wed 08:45PM EST,Wed 10:00PM PST
DAL558,A21N,Boston Logan Intl (KBOS),Salt Lake City Intl (KSLC),Wed 06:42PM EST,Wed 09:40PM MST
DAL56,A333,Salt Lake City Intl (KSLC),Amsterdam Schiphol (AMS / EHAM),Wed 04:27PM MST,Thu 09:16AM CET
DAL560,B738,Palm Beach Intl (KPBI),Boston Logan Intl (KBOS),Wed 08:03PM EST,Wed 10:36PM EST
DAL565,A21N,Seattle-Tacoma Intl (KSEA),Ellison Onizuka Kona Intl At Keahole (KOA / PHKO),Wed 02:17PM PST,Wed 06:08PM HST
DAL568,A320,Los Angeles Intl (KLAX),Dallas-Fort Worth Intl (KDFW),Wed 06:34PM PST,Wed 11:01PM CST
DAL574,B738,Denver Intl (KDEN),LaGuardia (KLGA),Wed 06:32PM MST,Wed 11:27PM EST
DAL58,A332,Boston Logan Intl (KBOS),London Heathrow (LHR / EGLL),Wed 07:51PM EST,Thu 06:44AM GMT
DAL600,B752,John F Kennedy Intl (KJFK),San Francisco Int'l (KSFO),Wed 05:44PM EST,Wed 08:31PM PST
DAL604,B752,Cancun Int'l (CUN / MMUN),Seattle-Tacoma Intl (KSEA),Wed 05:58PM EST,Wed 09:13PM PST
DAL606,B752,Hartsfield-Jackson Intl (KATL),Phoenix Sky Harbor Intl (KPHX),Wed 08:27PM EST,Wed 10:00PM MST
DAL61,B763,Hartsfield-Jackson Intl (KATL),Rio de Janeiro/Galeao Intl (GIG / SBGL),Wed 07:36PM EST,Thu 06:44AM -03
DAL610,A21N,John F Kennedy Intl (KJFK),Seattle-Tacoma Intl (KSEA),Wed 04:58PM EST,Wed 07:48PM PST
DAL614,B739,Cancun Int'l (CUN / MMUN),Los Angeles Intl (KLAX),Wed 07:10PM EST,Wed 08:49PM PST
DAL634,B739,John F Kennedy Intl (KJFK),Harry Reid Intl (KLAS),Wed 08:27PM EST,Wed 10:28PM PST
DAL636,B738,Anchorage Intl (PANC),Seattle-Tacoma Intl (KSEA),Wed 03:58PM AKST,Wed 07:53PM PST
DAL656,B739,Hartsfield-Jackson Intl (KATL),San Francisco Int'l (KSFO),Wed 10:07PM EST,Wed 11:47PM PST
DAL657,A321,Salt Lake City Intl (KSLC),Detroit Metro Wayne Co (KDTW),Wed 06:45PM MST,Wed 11:38PM EST
DAL660,A321,Hartsfield-Jackson Intl (KATL),Salt Lake City Intl (KSLC),Wed 07:54PM EST,Wed 09:28PM MST
DAL667,BCS1,Boston Logan Intl (KBOS),Kansas City Intl (KMCI),Wed 08:01PM EST,Wed 10:09PM CST
DAL671,B739,John F Kennedy Intl (KJFK),Salt Lake City Intl (KSLC),Wed 06:09PM EST,Wed 08:44PM MST
DAL680,A339,John F Kennedy Intl (KJFK),Los Angeles Intl (KLAX),Wed 05:25PM EST,Wed 07:42PM PST
DAL682,B739,Hartsfield-Jackson Intl (KATL),Sacramento Intl (KSMF),Wed 08:07PM EST,Wed 09:43PM PST
DAL692,A320,Los Angeles Intl (KLAX),Austin-Bergstrom Intl (KAUS),Wed 06:06PM PST,Wed 10:32PM CST
DAL694,A21N,Detroit Metro Wayne Co (KDTW),Los Angeles Intl (KLAX),Wed 08:57PM EST,Wed 10:17PM PST
DAL696,B738,Boston Logan Intl (KBOS),Tampa Intl (KTPA),Wed 08:53PM EST,Wed 11:39PM EST
DAL7,A339,Los Angeles Intl (KLAX),Tokyo Int'l (Haneda) (HND / RJTT),Wed 10:10AM PST,Thu 02:42PM JST
DAL702,B739,Salt Lake City Intl (KSLC),Boston Logan Intl (KBOS),Wed 05:47PM MST,Wed 11:42PM EST
DAL707,A321,Harry Reid Intl (KLAS),Hartsfield-Jackson Intl (KATL),Wed 04:27PM PST,Wed 10:51PM EST
DAL714,A321,Detroit Metro Wayne Co (KDTW),Salt Lake City Intl (KSLC),Wed 07:59PM EST,Wed 09:20PM MST
DAL715,A321,Hartsfield-Jackson Intl (KATL),Los Angeles Intl (KLAX),Wed 10:21PM EST,Wed 11:40PM PST
DAL719,B763,San Francisco Int'l (KSFO),John F Kennedy Intl (KJFK),Wed 03:23PM PST,Wed 11:05PM EST
DAL72,A333,Hartsfield-Jackson Intl (KATL),Amsterdam Schiphol (AMS / EHAM),Wed 05:53PM EST,Thu 07:51AM CET
DAL735,BCS1,LaGuardia (KLGA),Dallas-Fort Worth Intl (KDFW),Wed 07:45PM EST,Wed 10:23PM CST
DAL74,A333,Hartsfield-Jackson Intl (KATL),Amsterdam Schiphol (AMS / EHAM),Wed 08:02PM EST,Thu 10:01AM CET
DAL741,A21N,Hartsfield-Jackson Intl (KATL),Seattle-Tacoma Intl (KSEA),Wed 09:58PM EST,Wed 11:39PM PST
DAL764,A319,Minneapolis/St Paul Intl (KMSP),San Antonio Intl (KSAT),Wed 08:06PM CST,Wed 10:39PM CST
DAL765,B752,Hartsfield-Jackson Intl (KATL),Raleigh-Durham Intl (KRDU),Wed 10:22PM EST,Wed 11:13PM EST
DAL767,A320,Austin-Bergstrom Intl (KAUS),Los Angeles Intl (KLAX),Wed 07:30PM CST,Wed 08:15PM PST
DAL782,B739,Minneapolis/St Paul Intl (KMSP),Seattle-Tacoma Intl (KSEA),Wed 06:49PM CST,Wed 07:59PM PST
DAL783,B739,Salt Lake City Intl (KSLC),Raleigh-Durham Intl (KRDU),Wed 05:50PM MST,Wed 11:21PM EST
DAL788,A319,Austin-Bergstrom Intl (KAUS),Salt Lake City Intl (KSLC),Wed 07:55PM CST,Wed 09:18PM MST
DAL80,A339,Seattle-Tacoma Intl (KSEA),Charles de Gaulle/Roissy (CDG / LFPG),Wed 01:30PM PST,Thu 07:38AM CET
DAL803,A321,Los Angeles Intl (KLAX),Hartsfield-Jackson Intl (KATL),Wed 05:39PM PST,Thu 12:31AM EST
DAL82,A333,Hartsfield-Jackson Intl (KATL),Charles de Gaulle/Roissy (CDG / LFPG),Wed 04:07PM EST,Thu 06:02AM CET
DAL825,B752,Hartsfield-Jackson Intl (KATL),Harry Reid Intl (KLAS),Wed 09:11PM EST,Wed 10:07PM PST
DAL86,A332,Detroit Metro Wayne Co (KDTW),Frankfurt Int'l (FRA / EDDF),Wed 05:53PM EST,Thu 07:49AM CET
DAL888,B739,Hartsfield-Jackson Intl (KATL),Portland Intl (KPDX),Wed 07:57PM EST,Wed 09:44PM PST
DAL891,B738,Nashville Intl (KBNA),Los Angeles Intl (KLAX),Wed 06:04PM CST,Wed 08:07PM PST
DAL896,A321,Hartsfield-Jackson Intl (KATL),San Diego Intl (KSAN),Wed 10:26PM EST,Wed 11:31PM PST
DAL897,A321,Hartsfield-Jackson Intl (KATL),Los Angeles Intl (KLAX),Wed 06:42PM EST,Wed 07:55PM PST
DAL907,A321,Salt Lake City Intl (KSLC),Hartsfield-Jackson Intl (KATL),Wed 06:01PM MST,Wed 11:12PM EST
DAL950,B739,Hartsfield-Jackson Intl (KATL),San Francisco Int'l (KSFO),Wed 08:13PM EST,Wed 09:56PM PST
DAL960,B712,Hartsfield-Jackson Intl (KATL),Dallas Love Fld (KDAL),Wed 09:07PM EST,Wed 09:55PM CST
DAL965,B738,Seattle-Tacoma Intl (KSEA),Anchorage Intl (PANC),Wed 06:19PM PST,Wed 08:33PM AKST
DAL966,B752,Hartsfield-Jackson Intl (KATL),Los Angeles Intl (KLAX),Wed 08:51PM EST,Wed 10:04PM PST
DAL969,A359,Daniel K Inouye Intl (PHNL),Detroit Metro Wayne Co (KDTW),Wed 04:22PM HST,Thu 05:13AM EST
DAL971,A320,Minneapolis/St Paul Intl (KMSP),John Glenn Columbus Intl Airport (KCMH),Wed 08:24PM CST,Wed 10:46PM EST
DAL9755,B752,Hilo Intl (ITO / PHTO),Los Angeles Intl (KLAX),Wed 02:44PM HST,Wed 09:53PM PST
DAL979,B739,Raleigh-Durham Intl (KRDU),Salt Lake City Intl (KSLC),Wed 07:48PM EST,Wed 09:45PM MST
DAL98,A333,Detroit Metro Wayne Co (KDTW),Charles de Gaulle/Roissy (CDG / LFPG),Wed 06:48PM EST,Thu 07:57AM CET
DAL989,A321,Hartsfield-Jackson Intl (KATL),Ontario Intl (KONT),Wed 09:04PM EST,Wed 10:12PM PST
DAL995,BCS1,Dallas-Fort Worth Intl (KDFW),Boston Logan Intl (KBOS),Wed 07:48PM CST,Wed 11:52PM EST
DAL9950,A321,El Salvador Int'l (SAL / MSLP),Hartsfield-Jackson Intl (KATL),Wed 07:12PM CST,Wed 11:07PM EST
DAL996,B739,Minneapolis/St Paul Intl (KMSP),Los Angeles Intl (KLAX),Wed 08:43PM CST,Wed 09:55PM PST
DAL998,A319,Minneapolis/St Paul Intl (KMSP),Chicago O'Hare Intl (KORD),Wed 08:56PM CST,Wed 09:48PM CST
