Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
682,ATL,SMF,Wed 08:07PM EST,Wed 09:43PM PST
692,LAX,AUS,Wed 06:06PM PST,Wed 10:32PM CST
694,DTW,LAX,Wed 08:57PM EST,Wed 10:17PM PST
696,BOS,TPA,Wed 08:53PM EST,Wed 11:39PM EST
7,LAX,HND,Wed 10:10AM PST,Thu 02:42PM JST
702,SLC,BOS,Wed 05:47PM MST,Wed 11:42PM EST
707,LAS,ATL,Wed 04:27PM PST,Wed 10:51PM EST
714,DTW,SLC,Wed 07:59PM EST,Wed 09:20PM MST
715,ATL,LAX,Wed 10:21PM EST,Wed 11:40PM PST
719,SFO,JFK,Wed 03:23PM PST,Wed 11:05PM EST
72,ATL,AMS,Wed 05:53PM EST,Thu 07:51AM CET
735,LGA,DFW,Wed 07:45PM EST,Wed 10:23PM CST
74,ATL,AMS,Wed 08:02PM EST,Thu 10:01AM CET
741,ATL,SEA,Wed 09:58PM EST,Wed 11:39PM PST
764,MSP,SAT,Wed 08:06PM CST,Wed 10:39PM CST
765,ATL,RDU,Wed 10:22PM EST,Wed 11:13PM EST
767,AUS,LAX,Wed 07:30PM CST,Wed 08:15PM PST
782,MSP,SEA,Wed 06:49PM CST,Wed 07:59PM PST
783,SLC,RDU,Wed 05:50PM MST,Wed 11:21PM EST
788,AUS,SLC,Wed 07:55PM CST,Wed 09:18PM MST
80,SEA,CDG,Wed 01:30PM PST,Thu 07:38AM CET
803,LAX,ATL,Wed 05:39PM PST,Thu 12:31AM EST
82,ATL,CDG,Wed 04:07PM EST,Thu 06:02AM CET
825,ATL,LAS,Wed 09:11PM EST,Wed 10:07PM PST
86,DTW,FRA,Wed 05:53PM EST,Thu 07:49AM CET
888,ATL,PDX,Wed 07:57PM EST,Wed 09:44PM PST
891,BNA,LAX,Wed 06:04PM CST,Wed 08:07PM PST
896,ATL,SAN,Wed 10:26PM EST,Wed 11:31PM PST
897,ATL,LAX,Wed 06:42PM EST,Wed 07:55PM PST
907,SLC,ATL,Wed 06:01PM MST,Wed 11:12PM EST
950,ATL,SFO,Wed 08:13PM EST,Wed 09:56PM PST
960,ATL,DAL,Wed 09:07PM EST,Wed 09:55PM CST
965,SEA,ANC,Wed 06:19PM PST,Wed 08:33PM AKST
966,ATL,LAX,Wed 08:51PM EST,Wed 10:04PM PST
969,HNL,DTW,Wed 04:22PM HST,Thu 05:13AM EST
971,MSP,CMH,Wed 08:24PM CST,Wed 10:46PM EST
9755,ITO,LAX,Wed 02:44PM HST,Wed 09:53PM PST
979,RDU,SLC,Wed 07:48PM EST,Wed 09:45PM MST
98,DTW,CDG,Wed 06:48PM EST,Thu 07:57AM CET
989,ATL,ONT,Wed 09:04PM EST,Wed 10:12PM PST
995,DFW,BOS,Wed 07:48PM CST,Wed 11:52PM EST
9950,SAL,ATL,Wed 07:12PM CST,Wed 11:07PM EST
996,MSP,LAX,Wed 08:43PM CST,Wed 09:55PM PST
998,MSP,ORD,Wed 08:56PM CST,Wed 09:48PM CST
